Name,Left Arm,Left Torso,Center,Right Torso,Right Arm,Head,JJ,Engines,Hardpoints,Torso/Arm,Costs
"GRAY DEATH
Hero",2 E,1 AMS   1 B,,1 M (10),2 E,1 M (5),4,110-360 XL275,4 1 2,90° / 35° 30° / 30°,4125
WOLVERINE (55),,,,,,,,,,,
WVR-6K,,1 M (10),,1 AMS,4 E,1 E,,110-375 STD275,5 0 1,125° / 30° 30° / 35°,1715 4281255
"WVR-6K(C)
Champion",,1 M (10),,1 AMS,4 E,1 E,,110-375 XL340,5 0 1,125° / 30° 30° / 35°,2145
WVR-6R,,3 M (10x3),,1 AMS,2 B,1 E,7,110-360 STD275,1 2 3,110° / 40° 25° / 25°,1825 4558223
WVR-7D,,2 M (10x2),,1 AMS,2 B,1 E,5,110-360 XL275,1 2 2,125° / 30° 30° / 35°,3170 7916335
"WVR-7D(L)
Special",,2 M (10x2),,1 AMS,2 B,1 E,5,110-360 XL275,1 2 2,125° / 30° 30° / 35°,
WVR-7K,,2 M (10x2),,1 AMS   1 M (10),2 E,1 E,7,110-360 XL275,3 0 3,125° / 30° 30° / 35°,3005 7506381
"QUARANTINE
Hero",,,,1 AMS   2 M (10x2),1 B   3 E,,7,110-360 XL275,3 1 2,125° / 30° 30° / 35°,4125
CHAMPION (60),,,,,,,,,,,
CHP-1N,1 AMS,2 E   2 M (20x2),2 E,2 B,,,,120-360 STD300,4 2 2,100° / 0° 20° / 35°,
CHP-1N2,1 AMS,3 E   2 M (20x2),2 E,1 B,,,,120-360 STD300,5 1 2,100° / 0° 20° / 35°,
CHP-1NB,1 AMS,4 E,,4 B,,,,120-360 STD300,4 4 0,100° / 0° 20° / 35°,
CHP-2N,1 AMS,2 E   1 M (20),2 E,3 B,,,,120-360 STD300,4 3 1,100° / 0° 20° / 35°,
CHP-3N,1 AMS   1 E,2 E   1 M (20),2 E,1 B,1 E,,,120-360 XL300,6 1 1,100° / 0° 20° / 35°,
"INVICTUS
Hero",1 AMS   1 E   1 M (20),1 M (20),,1 M (20),1 E   1 M (20),,5,120-360 XL300,2 0 4,100° / 0° 20° / 35°,
DRAGON (60),,,,,,,,,,,
DRG-1C,2 E,2 E,1 M (10),1 AMS,1 B,,,120-360 STD300,4 1 1,90° / 40° 20° / 30°,1900 4745200
DRG-1N,1 E,1 E,"2 M (10, 5)",1 AMS,2 B,,,120-360 STD300,2 2 2,90° / 40° 20° / 30°,1935 4827559
DRG-5N,2 E,,1 M (10),1 AMS,3 B,,,120-360 STD300,2 3 1,90° / 40° 20° / 30°,2040 5097559
"DRG-5N(C)
Champion",2 E,,1 M (10),1 AMS,3 B,,,120-360 XL300,2 3 1,90° / 40° 20° / 30°,2550
"FANG
Hero",2 E,1 E,1 M (6),1 AMS,2 B,,,120-360 STD300,3 2 1,90° / 40° 20° / 30°,4500
"FLAME
Hero",2 E,1 B,1 M (5),1 AMS,2 E,,,120-360 STD300,4 1 1,90° / 40° 20° / 30°,4500
QUICKDRAW (60),,,,,,,,,,,
QKD-4G,1 E,1 AMS   1 M (10),1 M (4),2 E,1 E,,7,120-360 STD300,4 0 2,90° / 30° 20° / 35°,2155 5377467
"QKD-4G(C)
Champion",1 E,1 AMS   1 M (10),1 M (4),2 E,1 E,,7,120-360 STD310,4 0 2,90° / 30° 20° / 35°,2695
QKD-4H,1 E,"1 AMS   2 M (10, 5)",1 M (4),2 E,1 E,,5,120-360 STD300,4 0 3,90° / 30° 20° / 35°,2155 5377467
QKD-5K,1 E,1 AMS   2 E,1 M (4),2 E,1 E,,5,120-360 STD300,6 0 1,90° / 30° 20° / 35°,2235 5578867
"IV-FOUR
Hero",1 B,1 AMS   1 M (10),2 E,1 M (10),1 B,,4,120-290 XL240,2 2 2,100° / 35° 25° / 40°,4500
RIFLEMAN (60),,,,,,,,,,,
RFL-3C,2 B,2 E,1 AMS,2 E,2 B,,,120-290 STD240,4 4 0,100° / 0° 20° / 50°,1900 4741382
RFL-3N,1 B   1 E,2 E,1 AMS,2 E,1 B   1 E,,,120-290 STD240,6 2 0,100° / 0° 20° / 50°,1930 4823866
RFL-5D,3 E,,2 E,1 AMS,3 E,,,120-290 XL240,8 0 0,100° / 0° 20° / 50°,3230 8074340
"DAO BREAKER
Hero",1 B   2 E,1 E,1 AMS,1 E,2 B   1 E,,,120-290 STD240,5 3 0,100° / 0° 20° / 50°,
"LEGEND-KILLER
Hero",2 B   1 E,1 E,1 AMS,1 E,2 B   1 E,,,120-290 XL240,4 4 0,100° / 0° 20° / 50°,4500
CATAPULT (65),,,,,,,,,,,
CPLT-A1,"3 M (20, 10x2)",,,1 AMS,"3 M (20, 10x2)",,4,130-315 STD260,0 0 6,120° / 0° 16° / 35°,2230 5564279
"CPLT-A1(C)
Champion","3 M (20, 10x2)",,,1 AMS,"3 M (20, 10x2)",,4,130-315 XL255,0 0 6,120° / 0° 16° / 35°,2790
"BUTTERBEE
Hero",2 M (20x2),1 E,2 E,1 AMS   1 E,2 M (20x2),,4,130-315 STD260,4 0 4,120° / 0° 16° / 35°,4875
CPLT-C1,1 M (20),1 E,2 E,1 AMS   1 E,1 M (20),,4,130-315 STD260,4 0 2,120° / 0° 16° / 35°,2325 5804127
CPLT-C4,"2 M (20, 10)",,2 E,1 AMS,"2 M (20, 10)",,4,130-315 STD260,2 0 4,120° / 0° 16° / 35°,2350 5869247
"JESTER
Hero",1 E,1 AMS   1 E,2 E,1 AMS   1 E,1 E,,2,130-355 STD295,6 0 0,120° / 0° 16° / 35°,4875
CPLT-K2,1 E,1 B   1 E,,1 AMS   1 B   1 E,1 E,,,130-315 STD260,4 2 0,110° / 0° 16° / 45°,2125 5304023
JAGERMECH (65),,,,,,,,,,,
JM6-A,1 B   2 M (20x2),1 AMS   1 E,,1 E,1 B   2 M (20x2),,,130-315 STD260,2 2 4,90° / 0° 20° / 35°,2190 5473070
"JM6-A(C)
Champion",1 B   2 M (20x2),1 AMS   1 E,,1 E,1 B   2 M (20x2),,,130-315 XL265,2 2 4,90° / 0° 20° / 35°,2740
JM6-DD,3 B,1 AMS   1 E,,1 E,3 B,,,130-315 XL260,2 6 0,110° / 0° 20° / 35°,3410 8513253
"FIREBRAND
Hero",1 B   1 E,1 AMS   2 E,,2 E,1 B   1 E,,,130-340 XL280,6 2 0,100° / 0° 20° / 35°,4875
JM6-S,2 B,1 AMS   2 E,,2 E,2 B,,,130-315 STD260,4 4 0,110° / 0° 20° / 35°,2085 5201918
ROUGHNECK (65),,,,,,,,,,,
RGH-1A,1 B,1 AMS   2 M (20x2),,2 B,1 B,1 E,,130-315 STD260,1 4 2,100° / 20° 20° / 25°,5154547
"RGH-1A(C)
Champion",1 B,1 AMS   2 M (20x2),,2 B,1 B,1 E,,130-315 STD225,1 4 2,100° / 20° 20° / 25°,
RGH-1B,1 B,1 AMS   2 M (20x2),,1 M (20),2 B,1 E,,130-315 STD260,1 3 3,100° / 20° 20° / 25°,5193047
RGH-1C,1 B   1 M (20),1 AMS   2 M (20x2),,1 B,1 B   1 M (20),,,130-315 STD260,0 3 4,100° / 20° 20° / 25°,5382615
RGH-2A,1 B,1 AMS   1 M (20),2 E,1 B,1 B,1 E,,130-315 XL260,3 3 1,100° / 20° 20° / 25°,7858972
RGH-3A,1 E,1 AMS   2 E,,2 E,1 E,1 E,,130-315 STD260,7 0 0,100° / 20° 20° / 25°,5535547
"POWERHOUSE
Hero",2 E,1 AMS   2 M (20x2),1 M (10),1 B,2 B,,,130-315 XL260,2 3 3,100° / 20° 20° / 25°,
"REAVER
Hero",1 B,1 AMS   2 E,1 M (10),2 E,1 B,,,130-315 XL260,4 2 1,100° / 20° 20° / 25°,
THUNDERBOLT (65),,,,,,,,,,,
TDR-5S,2 B,3 E,,"1 AMS   2 M (20, 10)",1 E,,,130-315 STD260,4 2 2,90° / 20° 20° / 30°,2100 5241175
"TOP DOG
Hero",,4 E,,1 AMS   4 E,1 E,,,130-315 STD260,9 0 0,80° / 20° 20° / 30°,4875
TDR-5SS,,3 E   1 M (10),,1 AMS   2 E,2 E,,,130-315 STD260,7 0 1,90° / 20° 20° / 30°,2080 5188055
TDR-9S,2 B,1 AMS   3 E   2 M (10),,1 AMS   2 E,1 E,,,130-315 STD260,6 2 2,80° / 20° 20° / 30°,2390 5964933
TDR-9SE,,3 E   2 M (10x2),,1 AMS,2 E,,4,130-315 STD260,5 0 2,90° / 20° 20° / 30°,2335 5835993
"TDR-9SE(C)
Champion",,3 E   2 M (10x2),,1 AMS,2 E,,4,130-315 STD290,5 0 2,90° / 20° 20° / 30°,2865
ARCHER (70),,,,,,,,,,,
ARC-2R,2 E,2 M (20x2),2 E,1 AMS   1 M (20),2 E,,,140-340 STD280,6 0 3,110° / 20° 25° / 30°,2505 6261235
ARC-5S,1 E   1 M (20),2 M (20x2),2 E,1 AMS   1 M (20),1 E   1 M (20),,,140-340 XL280,4 0 5,120° / 20° 25° / 30°,3825 9551235
ARC-5W,2 M (20x2),2 M (20x2),1 M (10),1 AMS   2 M (20x2),2 M (20x2),,,140-340 XL280,0 0 9,100° / 20° 25° / 30°,3805 9503235
"TEMPEST
Hero",2 E,1 ECM   1 M (20),2 E   1 M (10),1 AMS   1 M (20),2 E,,,140-340 STD280,6 0 3,100° / 20° 25° / 30°,5250
CATAPHRACT (70),,,,,,,,,,,
CTF-0XP,2 E,1 ECM   1 AMS,,1 B,2 E,,,140-340 STD280,4 1 0,90° / 20° 20° / 30°,2585 6458479
CTF-1X,1 E,1 AMS   1 E,,1 B   1 E,2 E,,,140-340 STD280,5 1 0,90° / 20° 20° / 30°,2385 5950963
CTF-2X,2 M (6x2),1 AMS   1 E,,1 B   1 E,1 E,,,140-340 STD280,3 1 2,90° / 20° 20° / 30°,2305 5755995
CTF-3D,1 E,1 AMS   1 E,,1 B   1 E,1 B   1 E,,4,140-340 XL280,4 2 0,90° / 20° 20° / 30°,3955 9881953
"CTF-3D(C)
Champion",1 E,1 AMS   1 E,,1 B   1 E,1 B   1 E,,4,140-340 STD300,4 2 0,90° / 20° 20° / 30°,4945
CTF-3L,1 E,1 AMS   1 E,,1 B   1 E,2 E,,,140-340 XL280,5 1 0,90° / 10° 20° / 30°,
"CTF-3L(L)
Special",1 E,1 AMS   1 E,,1 B   1 E,2 E,,,140-340 XL280,5 1 0,90° / 10° 20° / 30°,
CTF-4X,2 B,1 AMS,2 E,,2 B,1 M (5),,140-255 STD210,2 4 1,90° / 20° 20° / 30°,2095 5229289
"ILYA MUROMETS
Hero",1 B,1 AMS   1 E,,1 B   1 E,1 B   1 E,,,140-340 XL280,3 3 0,90° / 20° 20° / 30°,5250
GRASSHOPPER (70),,,,,,,,,,,
GHR-5H,1 E,1 AMS   2 E,1 E,2 E,1 E,1 M (5),4,140-340 STD280,7 0 1,120° / 30° 20° / 30°,2365 5911055
"GHR-5H(C)
Champion",1 E,1 AMS   2 E,1 E,2 E,1 E,1 M (5),4,140-340 XL340,7 0 1,120° / 30° 20° / 30°,2960
GHR-5J,2 E,1 AMS,2 E,1 AMS,2 E,1 M (5),6,140-365 STD280,6 0 1,120° / 30° 20° / 30°,2485 6200995
GHR-5N,2 E,1 AMS   1 E,,2 E,2 E,1 E,4,140-340 STD280,8 0 0,120° / 30° 20° / 30°,2445 6100995
GHR-5P,,1 AMS   3 E,1 E,3 E,,1 E,4,140-340 STD280,8 0 0,120° / 30° 20° / 30°,2620 6542003
"MJÖLNIR
Hero",1 B,1 AMS   2 E,1 E,2 E,2 E,,4,140-340 XL280,7 1 0,120° / 30° 20° / 30°,
WARHAMMER (70),,,,,,,,,,,
WHM-6D,2 E,3 E,1 AMS,2 E,2 E,,,140-340 STD280,9 0 0,110° / 25° 25° / 25°,2350 5871629
"WHM-6D(C)
Champion",2 E,3 E,1 AMS,2 E,2 E,,,140-340 STD300,9 0 0,110° / 25° 25° / 25°,
WHM-6R,1 E,1 B   2 E,1 AMS,1 B   2 E   1 M (20),1 E,,,140-340 STD280,6 2 1,110° / 25° 25° / 25°,2415 6036947
WHM-7S,1 E,2 E   1 M (20),1 AMS,2 E   2 M (20x2),1 E,,,140-340 STD280,6 0 3,110° / 25° 25° / 25°,2595 6485947
"BLACK WIDOW
Hero",1 E,2 B   1 E,1 AMS,2 B   1 E   1 M (20),1 E,,,140-340 XL280,4 4 1,110° / 25° 25° / 25°,5250
BLACK KNIGHT (75),,,,,,,,,,,
BL-6-KNT,1 E,1 AMS   2 E,,1 AMS   2 E,2 E,1 E,,150-360 STD300,8 0 0,110° / 20° 20° / 25°,2780 6949667
BL-6B-KNT,2 E,1 AMS   2 E,,2 E,2 E,1 E,,150-360 STD300,9 0 0,110° / 10° 20° / 25°,2995 7481667
BL-7-KNT,1 E,1 AMS   2 E,,3 E,2 E,1 E,,150-360 STD300,9 0 0,110° / 10° 20° / 25°,2615 6529635
BL-7-KNT-L,1 E,1 AMS   2 E,,2 E,2 E,1 E,,150-385 STD300,8 0 0,110° / 10° 20° / 25°,2540 6337635
"PARTISAN
Hero",1 B   1 M (20),1 AMS   2 E,,2 E,2 E,,,150-360 STD300,6 1 1,110° / 10° 20° / 25°,
MARAUDER (75),,,,,,,,,,,
MAD-3R,2 E,1 AMS,,3 B,2 E,,,150-360 STD300,4 3 0,85° / 20° 20° / 30°,2640 6590643
MAD-5D,2 E,1 AMS   2 M (20x2),,1 E,2 E,,4,150-360 XL300,5 0 2,85° / 20° 20° / 30°,4370 10915183
MAD-5M,3 E,1 AMS,,2 B,2 E,,4,150-360 XL300,5 2 0,85° / 20° 20° / 30°,4315 10776138
"BOUNTY HUNTER II
Hero",3 E,1 AMS,,1 B,3 E,1 E,4,150-300 XL225,7 1 0,95° / 0° 20° / 40°,5625
ORION (75),,,,,,,,,,,
ON1-K,2 E,"1 AMS   2 M (20, 10)",,1 B,2 E,,,150-360 STD300,4 1 2,90° / 20° 20° / 30°,2605 6510685
"ON1-K(C)
Champion",2 E,"1 AMS   2 M (20, 10)",,1 B,2 E,,,150-360 STD300,4 1 2,90° / 20° 20° / 30°,3260
ON1-M,1 E   1 M (15),1 AMS   1 M (20),1 M (6),1 B,2 E,,,150-360 XL300,3 1 3,90° / 20° 20° / 30°,4290 10715293
"PROTECTOR
Hero",1 E,"1 AMS   1 E   2 M (20, 10)",,2 B,1 E,,,150-360 STD300,3 2 2,90° / 20° 20° / 30°,5625
ON1-V,1 E   1 M (15),1 AMS   1 M (20),,2 B,1 E   1 M (15),,,150-360 STD300,2 2 3,90° / 20° 20° / 30°,2655 6628263
ON1-VA,"1 E   2 M (15, 10)",1 AMS,,1 B,"1 E   2 M (15, 10)",,,150-360 STD300,2 1 4,90° / 20° 20° / 30°,2500 6247565
THANATOS (75),,,,,,,,,,,
TNS-4P,2 B,1 ECM   2 E,,1 AMS   2 E,1 M (20),,5,150-360 XL300,4 2 1,110° / 10° 20° / 30°,
TNS-4S,2 E,1 ECM   1 E,,1 AMS   1 E,2 M (20x2),,5,150-400 XL375,4 0 2,105° / 20° 20° / 30°,
TNS-5P,1 B   1 M (20),1 ECM   1 M (20),,1 AMS   1 M (20),3 E,,5,150-360 STD300,3 1 3,110° / 20° 20° / 30°,
TNS-5S,2 E,1 ECM   1 B,,1 AMS   1 B,2 M (20x2),,5,150-360 XL300,2 2 2,110° / 20° 20° / 30°,
TNS-5T,2 M (20x2),1 ECM   1 M (20),,1 AMS   1 M (20),2 M (20x2),,5,150-360 STD300,0 0 6,110° / 20° 20° / 30°,
"HANGOVER
Hero",2 E,1 ECM   1 E,1 E,1 AMS   1 E,"5 M (20x3, 10, 5)",,5,150-400 XL375,5 0 5,105° / 20° 20° / 30°,
AWESOME (80),,,,,,,,,,,
AWS-8Q,,2 E,,1 AMS   2 E,2 E,1 E,,160-300 STD240,7 0 0,100° / 40° 20° / 30°,2710 6764270
AWS-8R,,2 M (20x2),,1 AMS   2 M (20x2),2 E,1 E,,160-300 STD240,3 0 4,100° / 40° 20° / 30°,2610 6524390
AWS-8T,2 E,1 M (20),,1 AMS   1 M (20),2 E,1 E,,160-300 STD240,5 0 2,100° / 40° 20° / 30°,2685 6704390
AWS-8V,,2 E,,"1 AMS   3 M (20x2, 15)",1 E,1 E,,160-300 STD240,4 0 3,100° / 40° 20° / 30°,2630 6574390
AWS-9M,1 M (20),1 E,"2 E   2 M (10, 5)",1 AMS   1 E,1 E,1 E,,160-385 XL320,6 0 3,100° / 40° 20° / 30°,4615 11534852
"AWS-9M(C)
Champion",1 M (20),1 E,"2 E   2 M (10, 5)",1 AMS   1 E,1 E,1 E,,160-385 STD315,6 0 3,100° / 40° 20° / 30°,5715
"PRETTY BABY
Hero",2 M (4x2),1 E,,1 AMS   1 M (15),1 E,1 E,,160-400 XL340,3 0 3,100° / 40° 20° / 30°,6000
CHARGER (80),,,,,,,,,,,
CGR-1A1,1 E,2 E,,2 E,1 AMS   1 E,1 E,,200-400 STD400,7 0 0,100° / 30° 25° / 30°,
CGR-1A5,,3 M (20x3),1 E,2 B,1 AMS,1 E,,200-385 STD320,2 2 3,100° / 30° 25° / 30°,
CGR-3K,1 E,1 E,,1 E   2 M (20x2),1 AMS   1 E,,5,200-400 XL400,4 0 2,100° / 30° 25° / 30°,
"NUMBER SEVEN
Hero",1 E,1 E,,2 E,1 AMS   1 E,1 E,5,200-385 STD320,6 0 0,100° / 30° 25° / 30°,
HATAMOTO-CHI (80),,,,,,,,,,,
HTM-27T,2 E,2 M (20x2),,2 M (20x2),1 AMS   1 E,,,200-385 STD320,3 0 4,100° / 30° 25° / 30°,
HATAMOTO-KU HTM-27W,2 E,,,3 B,1 AMS   2 E,,,200-385 STD320,4 3 0,100° / 30° 25° / 30°,
HTM-28TR,2 E,1 ECM   1 M (20),,1 M (20),1 AMS   2 E,,3,200-290 STD240,4 0 2,100° / 30° 25° / 30°,
"SHUGO
Hero",2 B,2 M (20x2),,2 M (20x2),1 AMS   2 B,,,200-290 STD240,0 4 4,100° / 30° 25° / 30°,
VICTOR (80),,,,,,,,,,,
VTR-9A1,3 E,1 B   1 M (20),,1 AMS   1 B,1 B,,4,160-385 STD320,3 3 1,90° / 10° 20° / 30°,
"VTR-9A1(L)
Special",3 E,1 B   1 M (20),,1 AMS   1 B,1 B,,4,160-385 STD320,3 3 1,90° / 10° 20° / 30°,
VTR-9B,2 E,"2 M (10, 5)",,1 AMS,3 B,,4,160-385 STD320,2 3 2,90° / 10° 20° / 30°,2965 7410423
VTR-9K,3 E,"2 M (10, 5)",,1 AMS,1 B,,6,160-385 STD320,3 1 2,90° / 20° 20° / 30°,3085 7710430
VTR-9S,2 E,"3 M (10, 5, 2)",,1 AMS,2 B,,4,160-385 STD320,2 2 3,90° / 10° 20° / 30°,2980 7440407
"VTR-9S(C)
Champion",2 E,"3 M (10, 5, 2)",,1 AMS,2 B,,4,160-385 XL340,2 2 3,90° / 10° 20° / 30°,3725
"DRAGON SLAYER
Hero",1 E,"2 M (10, 5)",,1 AMS   2 E,2 B,,4,160-400 XL330,3 2 2,90° / 20° 20° / 30°,6000
ZEUS (80),,,,,,,,,,,
ZEU-5S,1 B,2 E,1 E,1 AMS,"3 M (20, 15x2)",,,160-390 STD320,3 1 3,90° / 20° 20° / 30°,2985 7461534
ZEU-6S,2 B,3 E,1 E,1 AMS,1 M (20),,,160-390 STD320,4 2 1,90° / 20° 20° / 30°,2780 6947974
ZEU-6T,1 E,2 E,1 E,1 AMS,"3 M (20, 15x2)",,,160-390 STD320,4 0 3,90° / 20° 20° / 30°,2845 7101474
"ZEU-6T(C)
Champion",1 E,2 E,1 E,1 AMS,"3 M (20, 15x2)",,,160-390 XL380,4 0 3,90° / 20° 20° / 30°,3560
ZEU-9S,3 E,2 E,1 E,1 AMS,1 M (20),,,160-390 STD320,6 0 1,90° / 20° 20° / 30°,3135 7834142
ZEU-9S2,2 B,2 E,,1 AMS,"3 M (20, 15x2)",,,160-390 XL320,2 2 3,90° / 20° 20° / 30°,4515 11278322
"ZEU-9S2(L)
Special",2 B,2 E,,1 AMS,"3 M (20, 15x2)",,,160-390 XL320,2 2 3,90° / 20° 20° / 30°,
"SKOKOMISH
Hero",1 B,1 E   2 M (20x2),1 E,1 AMS,"2 M (20, 15)",,,160-400 XL320,2 1 4,90° / 20° 20° / 30°,
BATTLEMASTER (85),,,,,,,,,,,
BLR-1D,3 B,2 E,,1 AMS   2 E,1 E,,,170-400 STD340,5 3 0,80° / 30° 20° / 30°,2950 7363725
BLR-1G,2 B,3 E   1 M (10),,1 AMS   3 E,1 E,,,170-400 STD340,7 2 1,60° / 30° 20° / 30°,3085 7703709
"HELLSLINGER
Hero",1 E,2 E   3 M (10x3),,1 AMS   2 E,1 E,,,170-400 STD340,6 0 3,75° / 30° 20° / 30°,6375
BLR-1S,1 M (15),2 E   2 M (10x2),,1 AMS   2 E,1 M (15),,,170-400 STD340,4 0 4,80° / 30° 20° / 30°,2985 7452829
BLR-2C,1 AMS,3 E   2 M (10x2),,1 AMS   2 E,1 E,,,170-400 STD340,6 0 2,80° / 30° 20° / 30°,3720 9292709
"BLR-2C(C)
Champion",1 AMS,3 E   2 M (20x2),,1 AMS   2 E,1 E,,,170-400 STD315,6 0 2,80° / 30° 20° / 30°,4650
BLR-3M,1 B,3 E   1 M (10),,1 AMS   3 E,2 E,,,170-400 STD340,8 1 1,60° / 30° 20° / 30°,3275 8177709
BLR-3S,,3 E   1 M (10),,1 AMS   3 E,1 M (15),,,170-400 XL340,6 0 2,80° / 30° 20° / 30°,4705 11760821
STALKER (85),,,,,,,,,,,
STK-3F,2 E   1 M (10),1 E   1 M (6),,1 AMS   1 E   1 M (6),2 E   1 M (10),,,80-310 STD255,6 0 4,85° / 0° 20° / 30°,3050 7618480
STK-3FB,2 E   1 M (20),1 E,1 ECM,1 AMS   1 E,2 E   1 M (20),,,80-310 STD255,6 0 2,85° / 0° 20° / 30°,
"STK-3FB(L)
Special",2 E   1 M (20),1 E,1 ECM,1 AMS   1 E,2 E   1 M (20),,,80-310 STD255,6 0 2,85° / 0° 20° / 30°,
"STK-3F(C)
Champion",2 E   1 M (10),1 E   1 M (6),,1 AMS   1 E   1 M (6),2 E   1 M (10),,,80-310 STD290,6 0 4,85° / 0° 20° / 30°,3815
STK-3H,2 E   1 M (20),1 M (6),,1 AMS   1 M (6),2 E   1 M (20),,,80-310 STD255,4 0 4,60° / 0° 20° / 30°,3130 7818480
STK-4N,2 E,1 E   1 M (6),,1 AMS   1 E   1 M (6),2 E   1 M (10),,,80-310 STD255,6 0 3,60° / 0° 20° / 30°,2965 7412420
STK-5M,2 E   1 M (10),2 M (6x2),1 E,1 AMS   1 M (6),2 E   1 M (10),,,80-310 STD255,5 0 5,60° / 0° 20° / 30°,3230 8064616
STK-5S,2 E   1 M (10),1 AMS   1 E   1 M (6),,1 AMS   1 E   1 M (6),2 E   1 M (10),,,80-310 XL255,6 0 4,60° / 0° 20° / 30°,4370 10921480
"MISERY
Hero",2 E,1 B,1 E,1 AMS   1 M (6),2 E,,,80-310 STD255,5 1 1,65° / 0° 20° / 30°,6375
CYCLOPS (90),,,,,,,,,,,
CP-10-Q,1 E,"1 AMS   3 M (20x2, 15)",1 M (10),"1 E   3 M (20x2, 15)",1 E,,,180-400 STD360,3 0 7,80° / 20° 20° / 30°,3255 8123100
CP-10-Z,3 E,1 AMS   1 M (20),1 M (10),1 B,3 E,,,180-400 STD360,6 1 2,80° / 20° 20° / 30°,3330 8322820
CP-11-A,1 E,1 AMS   2 M (20x2),1 M (10),3 B,2 E,,,180-400 STD360,3 3 3,80° / 20° 20° / 30°,3345 8352868
CP-11-A-DC,1 E,"1 AMS   3 M (20x2, 15)",1 M (10),1 AMS   2 B,1 E,,,180-400 STD360,2 2 4,80° / 20° 20° / 30°,3720 9298808
CP-11-P,2 E,1 ECM   1 AMS   1 M (20),1 M (10),2 B,2 E,,,180-400 STD360,4 2 2,80° / 20° 20° / 30°,3530 8814706
"SLEIPNIR
Hero",1 E,1 AMS   2 B,1 M (10),2 B,2 E,1 E,,180-400 XL360,4 4 1,80° / 20° 20° / 30°,6750
HIGHLANDER (90),,,,,,,,,,,
HGN-732,2 M (10x2),1 AMS   1 M (20),,3 E,1 B,,3,180-325 STD270,3 1 3,90° / 20° 20° / 30°,3615 9032840
HGN-732B,1 M (10),1 AMS   1 M (20),,3 E,2 B,,3,180-325 STD270,3 2 2,90° / 20° 20° / 30°,3750 9364960
HGN-733,2 M (10x2),"1 AMS   2 M (20, 10)",,2 E,1 B,,3,180-325 STD270,2 1 4,90° / 20° 20° / 30°,3405 8504422
HGN-733C,1 M (10),"1 AMS   2 M (20, 10)",,2 E,2 B,,4,180-325 STD270,2 2 3,90° / 10° 20° / 30°,3465 8655368
"HGN-733C(C)
Champion",1 M (10),"1 AMS   2 M (20, 10)",,2 E,2 B,,4,180-325 STD325,2 2 3,90° / 10° 20° / 30°,4335
HGN-733P,1 M (10),"1 AMS   2 M (20, 10)",,2 E,2 E,,3,180-325 STD270,4 0 3,90° / 20° 20° / 30°,3410 8520422
"HEAVY METAL
Hero",3 E,"1 AMS   2 M (20, 10)",,,2 B,,5,180-330 XL275,3 2 2,90° / 20° 20° / 30°,6750
MAULER (90),,,,,,,,,,,
MAL-1P,1 AMS   2 E,2 B   1 M (20),,2 B   1 M (20),2 E,,,180-325 XL270,4 4 2,70° / 25° 20° / 35°,4645 11603674
MAL-1R,1 AMS   1 E,2 B   2 M (20x2),,2 B   2 M (20x2),1 E,,,180-325 XL270,2 4 4,70° / 25° 20° / 35°,4765 11903674
MAL-2P,1 AMS   3 E,1 B   1 M (20),,1 B   1 M (20),3 E,,,180-325 STD270,6 2 2,70° / 25° 20° / 35°,3535 8834724
"KNOCKOUT
Hero",1 AMS   1 B,2 E   2 M (20x2),,2 E   2 M (20x2),1 B,,,180-325 XL270,4 2 4,70° / 25° 20° / 35°,
MAL-MX90,1 AMS   1 E,3 B   1 M (20),,3 B   1 M (20),1 E,,,180-325 STD270,2 6 2,70° / 25° 20° / 35°,3305 8250810
"MAL-MX90(C)
Champion",1 AMS   1 E,3 B   1 M (20),,3 B   1 M (20),1 E,,,180-325 STD300,2 6 2,70° / 25° 20° / 35°,
BANSHEE (95),,,,,,,,,,,
BNC-3E,,4 B,1 AMS,3 E,,1 E,,190-400 STD380,4 4 0,90° / 20° 20° / 30°,3420 8542695
BNC-3M,,3 E,1 AMS,4 E,,1 E,,190-400 STD380,8 0 0,90° / 20° 20° / 30°,3540 8848195
"BNC-3M(C)
Champion",,3 E,1 AMS,4 E,,1 E,,190-400 STD350,8 0 0,90° / 20° 20° / 30°,4425
BNC-3S,1 E,1 B,1 AMS   1 E,5 E   1 M (20),,1 E,,190-345 STD285,8 1 1,90° / 20° 20° / 30°,3630 9067028
"LA MALINCHE
Hero",1 E,1 B   1 E,1 AMS,1 M (20),1 E,1 E,,190-400 XL380,4 1 1,90° / 20° 20° / 30°,7125
"SIREN
Hero",3 E,2 B,1 AMS,1 E,1 M (20),,4,190-400 XL380,4 2 1,90° / 20° 20° / 30°,
NIGHTSTAR (95),,,,,,,,,,,
NSR-10P,2 B,1 ECM   1 AMS,,1 E,2 B,1 E,,190-345 STD285,2 4 0,95° / 30° 25° / 30°,
NSR-9FC,1 B   1 E,1 AMS,,2 E,1 B   1 E,1 E,,190-400 XL380,5 2 0,95° / 30° 25° / 30°,
NSR-9J,1 B   2 E,1 AMS,,1 E,1 B   2 E,1 E,,190-345 XL285,6 2 0,95° / 30° 25° / 30°,
NSR-9P,1 B   1 E,1 AMS   1 B,1 M (10),1 B,1 B   1 E,1 AMS,,190-345 XL285,2 4 1,95° / 30° 25° / 30°,
